
2024/03/15 (21:24:32) | INFO: Running on /dev/pts/4
2024/03/15 (21:24:32) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/15 (21:24:32) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/16 (00:32:15) | ===> btop++ v.1.3.2
2024/03/16 (00:32:15) | INFO: Logger set to INFO
2024/03/16 (00:32:15) | INFO: Running on /dev/pts/1
2024/03/16 (00:32:15) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/16 (00:32:15) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/16 (10:56:39) | ===> btop++ v.1.3.2
2024/03/16 (10:56:39) | INFO: Logger set to INFO
2024/03/16 (10:56:39) | INFO: Running on /dev/pts/1
2024/03/16 (10:56:39) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/16 (10:56:39) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/16 (10:56:44) | INFO: Quitting! Runtime: 00:00:05

2024/03/16 (11:14:14) | ===> btop++ v.1.3.2
2024/03/16 (11:14:14) | INFO: Logger set to INFO
2024/03/16 (11:14:14) | INFO: Running on /dev/pts/4
2024/03/16 (11:14:14) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/16 (11:14:14) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/03/16 (17:18:56) | ===> btop++ v.1.3.2
2024/03/16 (17:18:56) | INFO: Logger set to INFO
2024/03/16 (17:18:56) | INFO: Running on /dev/pts/4
2024/03/16 (17:18:56) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/16 (17:18:56) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

